P,E,eta,uptime,fee,profit_mean,P_loss,mis_naive,mis_std,mis_champ,VPI_vs_naive,val_champ_vs_naive,val_champ_vs_std
120000.0,0.03,32,0.97,0.3,1823568.5991951379,0.0,81210.51649870205,88059.05136548539,72639.63581254017,81210.51649870205,8570.88068616188,15419.415552945211
120000.0,0.05,18,0.9,0.05,1565423.2692302228,0.0,69849.96640681499,75740.45880860096,62478.06737431969,69849.96640681499,7371.899032495297,13262.391434281271
120000.0,0.05,18,0.9,0.3,1710114.8652326022,0.0,75349.9637616823,81704.27446282149,67397.60023843935,75349.9637616823,7952.3635232429515,14306.674224382135
120000.0,0.05,18,0.97,0.05,1687178.4123925727,0.0,75282.74157178949,81631.38338260322,67337.47261454455,75282.74157178949,7945.268957244945,14293.910768058675
120000.0,0.05,18,0.97,0.3,1843123.7991951378,0.0,81210.51649870205,88059.05136548539,72639.63581254017,81210.51649870205,8570.88068616188,15419.415552945211
120000.0,0.05,25,0.9,0.05,1459583.2692302228,0.0,69849.96640681499,75740.45880860096,62478.06737431969,69849.96640681499,7371.899032495297,13262.391434281271
120000.0,0.05,25,0.9,0.3,1604274.8652326022,0.0,75349.9637616823,81704.27446282149,67397.60023843935,75349.9637616823,7952.3635232429515,14306.674224382135
120000.0,0.05,25,0.97,0.05,1573106.4123925727,0.0,75282.74157178949,81631.38338260322,67337.47261454455,75282.74157178949,7945.268957244945,14293.910768058675
120000.0,0.05,25,0.97,0.3,1729051.7991951378,0.0,81210.51649870205,88059.05136548539,72639.63581254017,81210.51649870205,8570.88068616188,15419.415552945211
120000.0,0.05,32,0.9,0.05,1353743.2692302228,0.0,69849.96640681499,75740.45880860096,62478.06737431969,69849.96640681499,7371.899032495297,13262.391434281271
120000.0,0.05,32,0.9,0.3,1498434.8652326022,0.0,75349.9637616823,81704.27446282149,67397.60023843935,75349.9637616823,7952.3635232429515,14306.674224382135
120000.0,0.05,32,0.97,0.05,1459034.4123925727,0.0,75282.74157178949,81631.38338260322,67337.47261454455,75282.74157178949,7945.268957244945,14293.910768058675
120000.0,0.05,32,0.97,0.3,1614979.7991951378,0.0,81210.51649870205,88059.05136548539,72639.63581254017,81210.51649870205,8570.88068616188,15419.415552945211
120000.0,0.07,18,0.9,0.05,1456559.2692302226,0.0,69849.96640681499,75740.45880860096,62478.06737431969,69849.96640681499,7371.899032495297,13262.391434281271
120000.0,0.07,18,0.9,0.3,1601250.865232602,0.0,75349.9637616823,81704.27446282149,67397.60023843935,75349.9637616823,7952.3635232429515,14306.674224382135
120000.0,0.07,18,0.97,0.05,1569847.2123925728,0.0,75282.74157178949,81631.38338260322,67337.47261454455,75282.74157178949,7945.268957244945,14293.910768058675
120000.0,0.07,18,0.97,0.3,1725792.5991951379,0.0,81210.51649870205,88059.05136548539,72639.63581254017,81210.51649870205,8570.88068616188,15419.415552945211
120000.0,0.07,25,0.9,0.05,1308383.2692302226,0.0,69849.96640681499,75740.45880860096,62478.06737431969,69849.96640681499,7371.899032495297,13262.391434281271
120000.0,0.07,25,0.9,0.3,1453074.865232602,0.0,75349.9637616823,81704.27446282149,67397.60023843935,75349.9637616823,7952.3635232429515,14306.674224382135
120000.0,0.07,25,0.97,0.05,1410146.4123925727,0.0,75282.74157178949,81631.38338260322,67337.47261454455,75282.74157178949,7945.268957244945,14293.910768058675
120000.0,0.07,25,0.97,0.3,1566091.7991951378,0.0,81210.51649870205,88059.05136548539,72639.63581254017,81210.51649870205,8570.88068616188,15419.415552945211
120000.0,0.07,32,0.9,0.05,1160207.2692302226,0.05504587155963303,69849.96640681499,75740.45880860096,62478.06737431969,69849.96640681499,7371.899032495297,13262.391434281271
120000.0,0.07,32,0.9,0.3,1304898.865232602,0.027522935779816515,75349.9637616823,81704.27446282149,67397.60023843935,75349.9637616823,7952.3635232429515,14306.674224382135
